,Market,Brand,Sub Brand,Category,Sub Category,Name,IS_Combo,If Combo - Size,Individual Size (gm),Price (SAR),Link,SAR/g
0,Carrefour,Nestle cereals,Nestle cereals,Breakfast Cereals & Bars,Cereals,Country corn flakes 500 g,No,,500.0,19.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/country-corn-flakes-500g/p/126104,0.038
1,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness breakfast cereal bar with whole grain & strawberry 23.5 g,No,,23.0,3.85,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/fitness-cereal-bar-strbry-23-5g/p/561448,0.13043478260869565
2,Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins choco flakes cereal 750 g,No,,750.0,33.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-choco-flakes-750g/p/50358,0.044
3,Carrefour,Nestle cereals,Nestle cereals,Breakfast Cereals & Bars,Cereals,Nestle country cornflakes bar cardamom 20 g,No,,20.0,2.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/country-corn-flake-bar-cardamom-20g/p/612630,0.1
4,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness original cereal made with whole grain 450 g +20 % free,No,,450.0,24.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-cereal-375g-20-free/p/166213,0.05333333333333334
5,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Nestle fitness oats honey almond 355 g + 20% free,No,,355.0,25.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-honey-almond-355g-20-fr/p/513587,0.07042253521126761
6,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness breakfast cereal bar with whole grain & chocolate 23.5 g,No,,23.0,3.85,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/fitness-cereal-bar-choco-23-5g/p/561450,0.13043478260869565
7,Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness fruits fitness cereal made with whole grain low fat & high in fiber 450 g +20 % free,No,,450.0,25.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-fruit-375g-20-free/p/493367,0.05555555555555555
8,Carrefour,Carrefour,Carrefour,Breakfast Cereals & Bars,Cereals,Carrefour xtrem milk cereal 400 g,No,,400.0,14.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/crf-xtreme-milk-cereal-400g/p/629461,0.035
9,Carrefour,Eggo,Eggo,Breakfast Cereals & Bars,Cereals,Kelloggs coco pops bars 20 g x 6 pieces,yes,6,20.0,10.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereal-bars/kellogg-s-coco-pops-pars-20g-x6/p/599122,
10,Carrefour,,,Breakfast Cereals & Bars,Cereals,Bakalland ba energy bar breakfast cereal with 5 dried fruits 240 g,No,,240.0,22.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/ba-energy-bar-5-dried-fruits-240g/p/645040,0.09166666666666666
11,Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins frosted flakes 375 g,No,,375.0,20.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-snowies-375g/p/162274,0.05333333333333334
12,Carrefour,Nestle,Nestle,Breakfast Cereals & Bars,Cereals,Country corn flakes 805 g + 15 % free,No,,805.0,25.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/nestle-corn-flakes-700g-15-extra/p/373071,0.031055900621118012
13,Carrefour,Nestle,Nestle,Breakfast Cereals & Bars,Cereals,Nestle cini minis cereal cinnamon 375 g,No,,375.0,22.55,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/nestle-cini-minis-cereal-cinmn-375g/p/633297,0.058666666666666666
14,Carrefour,Kellogg's,Kellogg's,Breakfast Cereals & Bars,Cereals,Kellogg's coco pops jumbo crispy chocolate cereal 375 g,No,,375.0,16.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/kellogg-s-coco-pop-jumbo-375g/p/301257,0.042666666666666665
15,Carrefour,Nestle,Nestle,Breakfast Cereals & Bars,Cereals,Country corn flakes 430 g + 15 % free,No,,430.0,15.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/nestle-corn-flakes-375g-15-extra/p/368888,0.03488372093023256
