"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Ritz","Ritz","Biscuits, Crackers & Cakes","Crackers & Crispbread","Ritz Crackers Original 16 x 41 g","No","NA","1 pieces/kg","17.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/crackers-crispbread/crackers/ritz-crackers-biscuit-41g-x16/p/532394",17.25
"Carrefour","Ulker","Ulker","Biscuits, Crackers & Cakes","Coated Biscuits & Wafers","Ulker choco sandwich biscuit with hazelnut & cocoa cream 22.5 g x 20","Yes","20","1 pieces/kg","9.75SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/coated-biscuits-wafers/coated-biscuits/ulker-choco-sandwich-bisc-22-5g-x20/p/63946",9.75
"Carrefour","Mcvities","Mcvities","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","Mcvities digestive the original delicious wheat biscuits 250 g","No","NA","1 pieces/kg","10.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/fiber/mcvities-digestive-original-250g/p/51042",10.25
"Carrefour","Americana","Americana","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","Americana hershey’s chocolate cookies 504 g","No","NA","1 pieces/kg","24.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/butter-cookies/americana-hrshy-chochip-cookie-504g/p/620120",24.25
"Carrefour","Kitco","Kitco","Biscuits, Crackers & Cakes","Filled Biscuits","Kitco want biscuite 45 g × 24","No","NA","1 pieces/kg","18.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/filled-biscuits/cream-chocolate-filled/kitco-want-bisc-vanilla-45gx24/p/589615",18.25
"Carrefour","Memories","Memories","Biscuits, Crackers & Cakes","Coated Biscuits & Wafers","Memories joy wafer hazelnut 25 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/coated-biscuits-wafers/wafers/memories-joy-wafer-hzlnut-25g/p/541232",1.25
"Carrefour","YAUMI","YAUMI","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","YAUMI DIGESTIVE BRAN BISCUIT 230G","No","NA","1 pieces/kg","8.15","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/fiber/yaumi-digestive-bran-biscuit-230g/p/665600",8.15
"Carrefour","NA","NA","Biscuits, Crackers & Cakes","Coated Biscuits & Wafers","Deemah treato caramel star biscuit 26 g","No","NA","1 pieces/kg","1.05","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/coated-biscuits-wafers/coated-biscuits/deemah-star-bisct-caramel-26g/p/644437",1.05
"Carrefour","Al karamah","Al karamah","Biscuits, Crackers & Cakes","Filled Biscuits","Al karamah choco date bar 320 g × 16","No","NA","1 pieces/kg","21.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/filled-biscuits/date-fruit-filled/al-karamah-choco-date-bar-20g-x16/p/459164",21.5
"Carrefour","NA","NA","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","Eurocake chocolate chip cookies 28 g x 9 pieces","No","NA","1 pieces/kg","12.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/cookies/eurocake-choco-chip-cookie-252g/p/626818",12.95
"Carrefour","Elitesse","Elitesse","Biscuits, Crackers & Cakes","Coated Biscuits & Wafers","Elitesse deluxe golden wafer 20g","No","NA","1 pieces/kg","1.30","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/coated-biscuits-wafers/wafers/elitesse-deluxe-golden-wafer-20g/p/660210",1.3
"Carrefour","Deemah","Deemah","Biscuits, Crackers & Cakes","Filled Biscuits","Deemah fig bars biscuits 63 g","No","NA","1 pieces/kg","1.65","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/filled-biscuits/date-fruit-filled/deemah-fig-bar-63g/p/47942",1.65
"Carrefour","Mcvities","Mcvities","Biscuits, Crackers & Cakes","Coated Biscuits & Wafers","Mcvities digestive nibbles milk chocolate coated biscuit balls 120 g","No","NA","1 pieces/kg","7.50SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/coated-biscuits-wafers/coated-biscuits/mcvities-nibbles-milkchocolate-120g/p/593548",7.5
"Carrefour","Treva","Treva","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","Treva tea biscuit 150 g","No","NA","1 pieces/kg","2.15","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/assorted-tins/treva-tea-biscuit-150g/p/647580",2.15
"Carrefour","Loacker","Loacker","Biscuits, Crackers & Cakes","Coated Biscuits & Wafers","Loacker tiramisu wafer bag 220 g","No","NA","1 pieces/kg","22.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/coated-biscuits-wafers/wafers/quadratini-wafer-bag-tiramisu-220g/p/137018",22.25
"Carrefour","NA","NA","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","Relish butter & oats cookies 42 g × 12","No","NA","1 pieces/kg","14.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/butter-cookies/relish-butter-oat-cookies-42g-x12/p/630673",14.25
"Carrefour","Gandour","Gandour","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","Gandour tea biscuit 90 g","No","NA","1 pieces/kg","1.15","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/assorted-tins/gandour-tea-biscuit-90g/p/532866",1.15
"Carrefour","Ritter sport","Ritter sport","Biscuits, Crackers & Cakes","Filled Biscuits","Ritter sport butter biscuits chocolate 100 g","No","NA","1 pieces/kg","11.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/filled-biscuits/cream-chocolate-filled/ritter-sport-butter-biscuits-100g/p/80788",11.95
"Carrefour","Choco mello","Choco mello","Biscuits, Crackers & Cakes","Crackers & Crispbread","Haweek jubnah flavoured crackers 110 g","No","NA","1 pieces/kg","7.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/crackers-crispbread/crackers/haweek-jubnah-cracker-110g/p/292399",7.25
"Carrefour","7Days","7Days","Food Cupboard","Biscuits, Crackers & Cakes","7days bake rolls chili 36gx5+1 free","No","NA","1 pieces/kg","5.00","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/rusk/7days-bakerolls-chili-36g-x5-1-free/p/670041",5
"Carrefour","Bonomi","Bonomi","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Forno Bonomi Vaniglla Cocao 200 g","No","NA","1 pieces/kg","10.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/puff/forno-bonomi-vaniglla-cocao-200g/p/551199",10.5
"Carrefour","Deemah","Deemah","Biscuits, Crackers & Cakes","Crackers & Crispbread","Deemah salty cracker biscuit 42 g","No","NA","1 pieces/kg","1.05","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/crackers-crispbread/crackers/deemah-salty-cracker-biscuit-42g/p/50964",1.05
"Carrefour","Britannia","Britannia","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Britannia good day butter cookie 81 g × 8","No","NA","1 pieces/kg","18.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/britannia-gd-butter-cookies-90g-x8/p/583546",18.95
"Carrefour","Wernli","Wernli","Biscuits, Crackers & Cakes","Filled Biscuits","Wernli chocofin shortbread 100 g","No","NA","1 pieces/kg","15.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/filled-biscuits/cream-chocolate-filled/wernli-chocofin-shortbread-100g/p/523107",15.25
"Carrefour","Tiffany","Tiffany","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","Tiffany chunko's choco-chip cookies 40 g","No","NA","1 pieces/kg","1.40","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/cookies/tiffany-chunkos-chocochip-ckies-40g/p/568946",1.4
"Carrefour","Americana","Americana","Biscuits, Crackers & Cakes","Digestives & Assorted Biscuits","Americana original choco cookies 1040 g","No","NA","1 pieces/kg","26.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/digestives-assorted-biscuits/cookies/americana-orginal-choc-cookie-1040g/p/226439",26.95
"Carrefour","Ulker","Ulker","Biscuits, Crackers & Cakes","Coated Biscuits & Wafers","Ulker tempo dark 36 g x 16","Yes","16","1 pieces/kg","14.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/coated-biscuits-wafers/coated-biscuits/ulker-tempo-dark-36g-x16/p/599720",14.75
"Carrefour","Teashop","Teashop","Biscuits, Crackers & Cakes","Crackers & Crispbread","Teashop taib salted biscuit 75g","No","NA","1 pieces/kg","1.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/crackers-crispbread/crackers/teashop-taib-salted-biscuit-75g/p/133452",1.5
