"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Lusine","Lusine","Bakery","Bread & Rolls","Lusine burger buns plain bread 6 pieces - 400 g","No","NA","1 pieces/kg","3.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/bread-rolls/buns-rolls/lusine-burger-bun-402g/p/504528",3.5
"Carrefour","7Days","7Days","Bakery","Croissants, Pastries & Cakes","7 days cake bar vanilla filling 25 g x 12 pieces","No","NA","1 pieces/kg","6.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/7days-vanila-cake-bar-25g-x12/p/431895",6.95
"Carrefour","Lusine","Lusine","Bakery","Croissants, Pastries & Cakes","Lusine cheese puff 88 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/salted-products/lusine-cheese-puff-88g/p/100841",1.25
"Carrefour","Nahool","Nahool","Bakery","Croissants, Pastries & Cakes","Nahool mini cake vanilla 336 g","No","NA","1 pieces/kg","5.90SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/nahool-mini-cake-32gx12/p/158218",5.9
"Carrefour","Herfy","Herfy","Bakery","Bread & Rolls","Herfy sliced white bread jumbo 700 g","No","NA","1 pieces/kg","3.40SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/bread-rolls/white-sliced-bread/herfy-sliced-white-bread-700g/p/345913",3.4
"Carrefour","Herfy","Herfy","Bakery","Bread & Rolls","Herfy sliced brown jumpo bread 700 g","No","NA","1 pieces/kg","5.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/bread-rolls/brown-sliced-bread/herfy-sliced-brown-bread-700g/p/17984",5.75
"Carrefour","Herfy","Herfy","Bakery","Bread & Rolls","Herfy sliced bran bread 600 g","No","NA","1 pieces/kg","5.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/bread-rolls/brown-sliced-bread/herfy-sliced-bran-bread-600g/p/327569",5.75
"Carrefour","Fonte","Fonte","Bakery","Arabic Bread, Wraps & Flatbreads","Fonte tortilla wraps bread 6 pieces - 250 g","No","NA","1 pieces/kg","7.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/arabic-bread-wraps-flatbreads/wraps/fonte-tortilla-6s/p/513931",7.25
"Carrefour","7Days","7Days","Bakery","Croissants, Pastries & Cakes","7 days strudel with apple cinnamon filling 55 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/7days-apple-cinmon-strudel-55g/p/561249",1.25
"Carrefour","Carrefour","Carrefour","Bakery","Arabic Bread, Wraps & Flatbreads","Carrefour pre cooked baguette 300 g","No","NA","1 pieces/kg","11.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/arabic-bread-wraps-flatbreads/other-ethnic-bread/crf-pre-cooked-baguette-300g/p/588397",11.95
"Carrefour","Pronto","Pronto","Bakery","Croissants, Pastries & Cakes","Pronto duo cocoa vanilla croissant 55 g x 5+ 2 free","No","NA","1 pieces/kg","4.60SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/pronto-coc-vnla-crisnt-55gx5-2-free/p/589386",4.6
"Carrefour","Lusine","Lusine","Bakery","Croissants, Pastries & Cakes","Lusine blueberry muffin 6x60gm","No","NA","1 pieces/kg","14.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/lusine-blueberry-muffin-60gx6/p/665266",14.95
"Carrefour","7Days","7Days","Bakery","Croissants, Pastries & Cakes","7 days croissant with vanilla cream filling 55 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/7days-vanila-croissant-55g/p/516196",1.25
