"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Nestle cereals","Nestle cereals","Breakfast Cereals & Bars","Cereals","Country corn flakes 500 g","No","NA","1 pieces/kg","19.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/country-corn-flakes-500g/p/126104",19.95
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Fitness breakfast cereal bar with whole grain & strawberry 23.5 g","No","NA","1 pieces/kg","3.85","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/fitness-cereal-bar-strbry-23-5g/p/561448",3.85
"Carrefour","Poppins","Poppins","Breakfast Cereals & Bars","Cereals","Poppins choco flakes cereal 750 g","No","NA","1 pieces/kg","33.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-choco-flakes-750g/p/50358",33.75
"Carrefour","Nestle cereals","Nestle cereals","Breakfast Cereals & Bars","Cereals","Nestle country cornflakes bar cardamom 20 g","No","NA","1 pieces/kg","2.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/country-corn-flake-bar-cardamom-20g/p/612630",2.75
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Fitness original cereal made with whole grain 450 g +20 % free","No","NA","1 pieces/kg","24.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-cereal-375g-20-free/p/166213",24.5
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Nestle fitness oats honey almond 355 g + 20% free","No","NA","1 pieces/kg","25.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-honey-almond-355g-20-fr/p/513587",25.95
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Fitness breakfast cereal bar with whole grain & chocolate 23.5 g","No","NA","1 pieces/kg","3.85","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/fitness-cereal-bar-choco-23-5g/p/561450",3.85
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Fitness fruits fitness cereal made with whole grain low fat & high in fiber 450 g +20 % free","No","NA","1 pieces/kg","25.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-fruit-375g-20-free/p/493367",25.95
"Carrefour","Carrefour","Carrefour","Breakfast Cereals & Bars","Cereals","Carrefour xtrem milk cereal 400 g","No","NA","1 pieces/kg","14.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/crf-xtreme-milk-cereal-400g/p/629461",14.95
"Carrefour","Eggo","Eggo","Breakfast Cereals & Bars","Cereals","Kelloggs coco pops bars 20 g x 6 pieces","No","NA","1 pieces/kg","10.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereal-bars/kellogg-s-coco-pops-pars-20g-x6/p/599122",10.5
"Carrefour","NA","NA","Breakfast Cereals & Bars","Cereals","Bakalland ba energy bar breakfast cereal with 5 dried fruits 240 g","No","NA","1 pieces/kg","22.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/ba-energy-bar-5-dried-fruits-240g/p/645040",22.5
"Carrefour","Poppins","Poppins","Breakfast Cereals & Bars","Cereals","Poppins frosted flakes 375 g","No","NA","1 pieces/kg","20.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-snowies-375g/p/162274",20.75
"Carrefour","Nestle","Nestle","Breakfast Cereals & Bars","Cereals","Country corn flakes 805 g + 15 % free","No","NA","1 pieces/kg","25.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/nestle-corn-flakes-700g-15-extra/p/373071",25.5
"Carrefour","Nestle","Nestle","Breakfast Cereals & Bars","Cereals","Nestle cini minis cereal cinnamon 375 g","No","NA","1 pieces/kg","22.55","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/nestle-cini-minis-cereal-cinmn-375g/p/633297",22.55
"Carrefour","Kellogg's","Kellogg's","Breakfast Cereals & Bars","Cereals","Kellogg's coco pops jumbo crispy chocolate cereal 375 g","No","NA","1 pieces/kg","16.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/kellogg-s-coco-pop-jumbo-375g/p/301257",16.95
"Carrefour","Nestle","Nestle","Breakfast Cereals & Bars","Cereals","Country corn flakes 430 g + 15 % free","No","NA","1 pieces/kg","15.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/nestle-corn-flakes-375g-15-extra/p/368888",15.95
"Carrefour","Nestle cereals","Nestle cereals","Breakfast Cereals & Bars","Cereals","Nestle country cornflakes bar cereal with milk 20 g x 8","Yes","8","1 pieces/kg","17.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/country-corn-flake-cereal-bar-20g-x/p/612631",17.5
"Carrefour","Poppins","Poppins","Breakfast Cereals & Bars","Cereals","Poppins chocolate bumps wheat flakes roasted in chocolate 375 g","No","NA","1 pieces/kg","20.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-choco-bumps-375g/p/50350",20.75
"Carrefour","Poppins","Poppins","Breakfast Cereals & Bars","Cereals","Poppins choco bumps wheat flakes roasted in chocolate 750 g","No","NA","1 pieces/kg","33.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-choco-bumps-750g/p/50357",33.75
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Fitness origina fitness cereal made with whole grain 40 g","No","NA","1 pieces/kg","3.85","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-cereal-original-40g/p/419858",3.85
"Carrefour","Nature valley","Nature valley","Breakfast Cereals & Bars","Cereals","Nature valley crunchy apple crunch 42 g","No","NA","1 pieces/kg","2.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/nature-valley-apple-crunch-42g/p/578535",2.75
"Carrefour","Weetabix","Weetabix","Breakfast Cereals & Bars","Cereals","Alpen blueberry, cherry and almond muesli 560g","No","NA","1 pieces/kg","29.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/alpen-blue-berry-560g/p/643303",29.5
"Carrefour","Lion","Lion","Breakfast Cereals & Bars","Cereals","LION CEREAL BAR 25G X6","No","NA","1 pieces/kg","15.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereal-bars/lion-cereal-bar-25g-x6/p/653039",15.5
"Carrefour","NA","NA","Breakfast Cereals & Bars","Cereals","Bakalland ba energy bar breakfast cereal with 5 dried fruits 40 g","No","NA","1 pieces/kg","4.35","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/ba-energy-bar-5-dried-fruits-40g/p/645038",4.35
"Carrefour","NA","NA","Breakfast Cereals & Bars","Cereals","Bakalland ba energy bar breakfast cereal with cocoa & milk 25 g × 6","No","NA","1 pieces/kg","14.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/ba-kids-cereal-bar-cocoa-milk-240g/p/645042",14.95
"Carrefour","Nestle","Nestle","Breakfast Cereals & Bars","Cereals","Nat bears breakfast cereals 32gram x6","No","NA","1 pieces/kg","27.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/nat-bears-honey-cereal-32g-x6/p/653057",27.5
"Carrefour","Weetabix","Weetabix","Breakfast Cereals & Bars","Cereals","Alpen strawberry 560 g","No","NA","1 pieces/kg","29.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/alpen-strawberry-560g/p/643304",29.5
"Carrefour","Poppins","Poppins","Breakfast Cereals & Bars","Cereals","POPPINS CHO RINGS MARSHMALOWS 350G","No","NA","1 pieces/kg","23.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-cho-rings-marshmalows-350g/p/648092",23.95
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Fitness chocolate fitness cereal made with whole grain 375 g","No","NA","1 pieces/kg","23.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-choco-375g/p/542371",23.5
"Carrefour","NA","NA","Breakfast Cereals & Bars","Cereals","Vitabella traditional choco crispies gluten free 300 g","No","NA","1 pieces/kg","23.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/vitabella-choc-crisp-c-flakes-300g/p/607484",23.95
"Carrefour","Nesquik","Nesquik","Breakfast Cereals & Bars","Cereals","Nesquik whole grain chocolate cereal bar 25 g","No","NA","1 pieces/kg","2.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereal-bars/nesquik-cereal-bar-25g/p/561452",2.75
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Fitness origina fitness cereal made with whole grain value pack 625 g","No","NA","1 pieces/kg","31.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-cereal-original-625g/p/597894",31.95
"Carrefour","Nestle cereals","Nestle cereals","Breakfast Cereals & Bars","Cereals","Honey cheerios 5 whole grains cereal 375 g","No","NA","1 pieces/kg","22.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/cheerios-honey-375g/p/126111",22.95
"Carrefour","Alpen","Alpen","Breakfast Cereals & Bars","Cereals","Alpen Cereal Bar Strawberry Yoghurt x 5 Pieces","No","NA","1 pieces/kg","16.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/alpen-strawberry-yoghurt-29g-x5/p/462482",16.95
"Carrefour","NESTLE:FITNESS","NESTLE:FITNESS","Breakfast Cereals & Bars","Cereals","Fitness origina fitness cereal made with whole grain 375 g","No","NA","1 pieces/kg","24.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-cereal-low-fat-375g/p/126229",24.5
"Carrefour","Kellogg's","Kellogg's","Breakfast Cereals & Bars","Cereals","Kellogg's coco pops chocolate flavor toasted rice 500 g","No","NA","1 pieces/kg","27.90","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/kellogg-s-coco-pops-500g/p/542051",27.9
