"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Lusine","Lusine","Bakery","Croissants, Pastries & Cakes","Lusine cup cakes with strawberry filling 30 g x 18 pieces","No","NA","1 pieces/kg","8.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/lusine-stwbry-cupcake-30g-x18/p/599081",8.95
"Carrefour","Lusine","Lusine","Bakery","Croissants, Pastries & Cakes","Lusine cheese puff 88 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/salted-products/lusine-cheese-puff-88g/p/100841",1.25
"Carrefour","Lusine","Lusine","Bakery","Croissants, Pastries & Cakes","Lusine zaater croissant 60 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/salted-products/luisine-zaatar-croissant-60g/p/396061",1.25
"Carrefour","7Days","7Days","Bakery","Croissants, Pastries & Cakes","7 days swiss roll vanilla filing jumbo roll 55 g x 6 pieces","No","NA","1 pieces/kg","6.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/7days-vanila-swiss-roll-55g-x6/p/503104",6.95
"Carrefour","NA","NA","Bakery","Croissants, Pastries & Cakes","Croissant cheese x 10","Yes","10","1 pieces/kg","28.00","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/croissants-rolls/croissant-cheese-x10/p/4864",28
"Carrefour","NA","NA","Bakery","Croissants, Pastries & Cakes","Crossiant chocolate x 5","Yes","5","1 pieces/kg","16.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/croissants-rolls/chocolate-croissant-x5/p/4850",16.95
"Carrefour","7Days","7Days","Bakery","Croissants, Pastries & Cakes","7 days swiss roll cocoa filling 20 g x 12 pieces","No","NA","1 pieces/kg","5.50SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/7days-choco-swiss-roll-20g-x12/p/514542",5.5
"Carrefour","Pronto","Pronto","Bakery","Croissants, Pastries & Cakes","Pronto duo orange vanilla croissant 55 g x 5 + 2 free","No","NA","1 pieces/kg","4.60SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/pronto-org-vnla-crisnt-55gx5-2-free/p/589385",4.6
"Carrefour","NA","NA","Bakery","Croissants, Pastries & Cakes","English cake 400 g","No","NA","1 pieces/kg","9.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/dry-cakes/english-cake/p/5655",9.95
"Carrefour","7Days","7Days","Bakery","Croissants, Pastries & Cakes","7 days croissant with cocoa cream filling 55 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bakery/croissants-pastries-cakes/sweet-products/7days-choco-croissant-55g/p/416806",1.25
