"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Americana","Americana","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Americana butter cookies blue 100 g x 6 pieces","No","NA","1 pieces/kg","13.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/americana-buttercookie-blue-100g-x6/p/40312",13.75
"Carrefour","Americana","Americana","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Americana premium butter cookies 44 g","No","NA","1 pieces/kg","1.40","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/americana-butter-cookie-blue-44g/p/40305",1.4
"Carrefour","Tiffany","Tiffany","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Tiffany Butter Cookies 40 g x 12","Yes","12","1 pieces/kg","13.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/tiffany-butter-cookies-40g-x12/p/451936",13.5
"Carrefour","NA","NA","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Deemah brownie cake filled with chocolate cream 37 g × 12","No","NA","1 pieces/kg","14.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/deemah-brwnie-cho-cake37gx12/p/630788",14.25
"Carrefour","NA","NA","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Betty crocker super moist chocolate cake 250 g","No","NA","1 pieces/kg","14.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/betty-crocker-sm-choco-cake-250g/p/637111",14.25
"Carrefour","Brossard","Brossard","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Brossard Mini Chocolate Brownies 8 Pieces 240 g","No","NA","1 pieces/kg","21.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/brossard-brownie-chocpepites-240g/p/446127",21.75
"Carrefour","Americana","Americana","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Mericana butter cookie red 908 g","No","NA","1 pieces/kg","41.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/americana-butter-cookie-red-908g/p/103884",41.25
"Carrefour","Tiffany","Tiffany","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Tiffany delights butter cookies 405 g","No","NA","1 pieces/kg","19.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/tiffany-butter-cookies-405g-tin/p/467639",19.25
"Carrefour","Americana","Americana","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Americana premium butter cookies red 454 g","No","NA","1 pieces/kg","23.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/americana-butter-cookie-red-454g/p/103885",23.95
"Carrefour","Lu","Lu","Biscuits, Crackers & Cakes","Cakes,Cupcake & Muffins","Lu coqueline abricot 165 g","No","NA","1 pieces/kg","12.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/biscuits-crackers-cakes/cakes-cupcake-muffins/cake-muffin/lu-coqueline-165g-abricot/p/6247",12.95
