"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Pringles","Pringles","Chips, Dips & Snacks","Canister & Puffs","Pringles cheesy cheese chips 200 g","No","NA","1 pieces/kg","12.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/canister/pringles-cheesy-cheese-chips-200g/p/610650",12.75
"Carrefour","Cheetos","Cheetos","Chips, Dips & Snacks","Canister & Puffs","Cheetos Ketchup Cheese Sticks 30 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/puffs/cheetos-sticks-30g/p/50324",1.25
"Carrefour","Pringles","Pringles","Chips, Dips & Snacks","Canister & Puffs","Pringles texas bbq sauce chips 200 g","No","NA","1 pieces/kg","12.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/canister/pringles-texas-bbq-sauce-chips-200g/p/610648",12.75
"Carrefour","Cheetos","Cheetos","Chips, Dips & Snacks","Canister & Puffs","Cheetos crunchy flamin hot 200 g","No","NA","1 pieces/kg","6.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/puffs/cheetos-crunchy-flaming-hot-205gm/p/412609",6.95
"Carrefour","Mr krisps","Mr krisps","Chips, Dips & Snacks","Canister & Puffs","Mr. Krisps twist salted potato crunch 80 g","No","NA","1 pieces/kg","6.60","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/puffs/mr-krisps-twists-salted-potato-80g/p/561617",6.6
"Carrefour","Pringles","Pringles","Chips, Dips & Snacks","Canister & Puffs","Pringles Salt & Vinegar Potato Chips 165 g","No","NA","1 pieces/kg","12.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/canister/pringles-sltvngr-165gm/p/439858",12.5
"Carrefour","Ligo","Ligo","Chips, Dips & Snacks","Canister & Puffs","Ligo potato chips bbq 160 g","No","NA","1 pieces/kg","7.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/canister/ligo-potato-chips-bbq-160g/p/576496",7.95
"Carrefour","Mr krisps","Mr krisps","Chips, Dips & Snacks","Canister & Puffs","MR.KRISPS RINGS SALTED POTATO 80G","No","NA","1 pieces/kg","5.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/puffs/mr-krisps-rings-salted-potato-80g/p/561618",5.5
"Carrefour","Cheetos","Cheetos","Chips, Dips & Snacks","Canister & Puffs","Cheetos cheese curls 27 g","No","NA","1 pieces/kg","1.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/puffs/cheetos-curls-27g/p/50326",1.25
"Carrefour","Cheetos","Cheetos","Chips, Dips & Snacks","Canister & Puffs","Cheetos sticks katchup cheese 30g x 14","Yes","14","1 pieces/kg","17.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/canister-puffs/puffs/cheetos-sticks-30gx14/p/458335",17.5
