"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Wholesome organic choco crispies gluten free 300 g","No","NA","1 pieces/kg","29.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/wholesome-organic-choc-crispies300g/p/620676",29.95
"Carrefour","Oorganics","Oorganics","Organic Food Cupboard","Breakfast Cereal & Bars","O'flakes corn flakes 375 G","No","NA","1 pieces/kg","22.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/rusk-rice-bread/o-flakes-org-cocoa-rice-crspi-375g/p/656413",22.95
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","O'flakes organic oat bran flake 500 g","No","NA","1 pieces/kg","16.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/rusk-rice-bread/organti-organic-oat-bran-flake-500g/p/644478",16.5
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Vitabella organic & gulten free snack chocolate and hazelunt pillows 300 g","No","NA","1 pieces/kg","23.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/vitabella-org-cho-hzlnt-pilow-300g/p/636706",23.95
"Carrefour","Hanaa","Hanaa","Organic Food Cupboard","Breakfast Cereal & Bars","HANAA OATS GRANOLA NUTY DELIGHT 400","No","NA","1 pieces/kg","26.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/granola/hanaa-oats-granola-nuty-delight-400/p/663483",26.95
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Carrefour bio chocolate nuts muesli 500 g","No","NA","1 pieces/kg","38.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/museli/crf-bio-choco-nuts-muesli-bag-500/p/563956",38.5
"Carrefour","Bsaug","Bsaug","Organic Food Cupboard","Breakfast Cereal & Bars","Bjorg muesli fruits 375g (organic)","No","NA","1 pieces/kg","43.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/museli/bjorg-muesli-375g/p/157422",43.75
"Carrefour","Markal","Markal","Organic Food Cupboard","Breakfast Cereal & Bars","Markal crunchy chocolate muesli 375g (organic)","No","NA","1 pieces/kg","38.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/museli/markal-crunchy-choco-muesli-375g/p/567330",38.25
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Wellness organic cornflakes sugar cane 375g","No","NA","1 pieces/kg","25.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/wellness-corn-flake-sugar-cane-375g/p/654592",25.25
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","ABAZEER FLAKES OAT 500G","No","NA","1 pieces/kg","16.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/abazeer-flakes-oat-500g/p/588152",16.95
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Quin bite raw coconut bar 30g","No","NA","1 pieces/kg","14.95","https://www.carrefourksa.com/mafsau/en/consumable/cereal-bars/quinbite-organic-coconut-30gm/p/625049",14.95
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Wellness organic cornflakes no added sugar 375g","No","NA","1 pieces/kg","25.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/wellness-org-corn-flakes-375g/p/654591",25.25
"Carrefour","Markal","Markal","Organic Food Cupboard","Breakfast Cereal & Bars","Markal Muesli 500 g","No","NA","1 pieces/kg","37.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/museli/markal-muesli-500g/p/412578",37.25
"Carrefour","Markal","Markal","Organic Food Cupboard","Breakfast Cereal & Bars","Markal 5 grains flakes 500 g (organic)","No","NA","1 pieces/kg","20.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/markal-5-grains-flakes-500g/p/109351",20.25
"Carrefour","Markal","Markal","Organic Food Cupboard","Breakfast Cereal & Bars","Markal crunchy fruit muesli 375 g (organic)","No","NA","1 pieces/kg","39.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/markal-crunchy-fruit-muesli-375gm/p/542286",39.5
"Carrefour","Hanaa","Hanaa","Organic Food Cupboard","Breakfast Cereal & Bars","HANAA OATS GRANOLA VERRY BERRY 400G","No","NA","1 pieces/kg","26.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/granola/hanaa-oats-granola-verry-berry-400g/p/663482",26.95
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Organti organic rolled oats 1 kg","No","NA","1 pieces/kg","31.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/organti-organic-rolled-oats-1-kg/p/620427",31.75
"Carrefour","Organic larder","Organic larder","Organic Food Cupboard","Breakfast Cereal & Bars","Larder porridge oats 500g (organic)","No","NA","1 pieces/kg","20.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/larder-porridge-oats-500g/p/622074",20.5
"Carrefour","Bsaug","Bsaug","Organic Food Cupboard","Breakfast Cereal & Bars","Bjorg oats & muesl chocolate 375 g","No","NA","1 pieces/kg","45.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/museli/bjorg-oats-muesl-chocolate-375g/p/578448",45.95
"Carrefour","Shop rite","Shop rite","Organic Food Cupboard","Breakfast Cereal & Bars","Shoprite multigrain rice cakes 140g","No","NA","1 pieces/kg","17.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/rusk-rice-bread/shop-rite-mul-ricecake-fatfree-140g/p/660700",17.75
"Carrefour","Bsaug","Bsaug","Organic Food Cupboard","Breakfast Cereal & Bars","Bjorg organic oat flakes 500 g","No","NA","1 pieces/kg","38.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/bjorg-oat-flakes-500g/p/157419",38.25
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Wholesome organic carrot corn puffs 60 g","No","NA","1 pieces/kg","24.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/rusk-rice-bread/wholesome-orgnic-carot-corn-puff60g/p/620677",24.95
"Carrefour","Bsaug","Bsaug","Organic Food Cupboard","Breakfast Cereal & Bars","Bjorg oats flakes grapes & grains375g","No","NA","1 pieces/kg","45.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/rusk-rice-bread/bjorg-oats-flakes-grapes-grains375g/p/578446",45.95
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","O'flakes organic buckwheat flakes 500 g","No","NA","1 pieces/kg","20.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/rusk-rice-bread/organti-org-buckwheat-flakes-500g/p/644479",20.75
"Carrefour","Organic larder","Organic larder","Organic Food Cupboard","Breakfast Cereal & Bars","Organic larder snackeroos cheese puffs 15g","No","NA","1 pieces/kg","5.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/rusk-rice-bread/organic-snackeroos-cheese-puffs-15g/p/645868",5.75
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Organti organic rolled oats 500g","No","NA","1 pieces/kg","16.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/organti-organic-rolled-oats-500g/p/620428",16.5
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Organti organic instant oats 1 Kg","No","NA","1 pieces/kg","31.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/organti-organic-instant-oats-1-kg/p/620429",31.75
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Wholesome organic oats flakes 400 g","No","NA","1 pieces/kg","17.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/wholesome-organic-oats-flakes-400g/p/620673",17.95
"Carrefour","Carrefour","Carrefour","Organic Food Cupboard","Breakfast Cereal & Bars","Carrefour redberries cereal 300 g (organic)","No","NA","1 pieces/kg","16.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/crf-redberries-cereals-300g/p/632301",16.95
"Carrefour","Organic larder","Organic larder","Organic Food Cupboard","Breakfast Cereal & Bars","Larder organic whole grain small oat flakes 500g","No","NA","1 pieces/kg","21.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/larder-oat-flakes-small-500g/p/622043",21.5
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Carrefour Organic 5 Cereals Flakes 500 g","No","NA","1 pieces/kg","38.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/museli/crf-bio-5-cereals-bag-500g/p/507513",38.5
"Carrefour","Bsaug","Bsaug","Organic Food Cupboard","Breakfast Cereal & Bars","Bjorg corn flakes 375g (organic)","No","NA","1 pieces/kg","39.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/bjorg-corn-flakes-375g/p/157423",39.5
"Carrefour","Organic larder","Organic larder","Organic Food Cupboard","Breakfast Cereal & Bars","Larder cornflakes with honey 300g (organic)","No","NA","1 pieces/kg","26.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/corn-flakes/larder-cornflakes-with-honey-300g/p/622111",26.25
"Carrefour","Markal","Markal","Organic Food Cupboard","Breakfast Cereal & Bars","Markal corn flakes 200 gm","No","NA","1 pieces/kg","19.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/oats/markal-corn-flakes-200gm/p/542285",19.25
"Carrefour","Bsaug","Bsaug","Organic Food Cupboard","Breakfast Cereal & Bars","Bjorg organic superfruits musli 375 g","No","NA","1 pieces/kg","43.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/museli/bjorg-org-superfruits-musli-375g/p/561611",43.75
"Carrefour","NA","NA","Organic Food Cupboard","Breakfast Cereal & Bars","Wholesome organic tomato corn puffs 60 g","No","NA","1 pieces/kg","24.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-food-cupboard/breakfast-cereal-bars/rusk-rice-bread/wholesome-orgnic-tomato-corn-puf60g/p/620678",24.95
