"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Galaxy","Galaxy","Dairy & Eggs","Chilled Desserts","Galaxy Hazelnut Cake 30 g x 5","Yes","5","1 pieces/kg","13.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/galaxy-hazelnut-cake-30gx5/p/466526",13.95
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana vanilla pound cake 290 g","No","NA","1 pieces/kg","14.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-vanila-pound-cake-290g/p/516790",14.5
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana vanilla super roll 60 g × 6","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-vanila-super-roll-60g-x6/p/40386",10.95
"Carrefour","Galaxy","Galaxy","Dairy & Eggs","Chilled Desserts","Galaxy Vanilla Cake Ice Cream 30 g x5","No","NA","1 pieces/kg","13.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/galaxy-vanila-cake-30gx5/p/103305",13.95
"Carrefour","St michel","St michel","Dairy & Eggs","Chilled Desserts","Saint michel large madeleines 250g","No","NA","1 pieces/kg","12.50SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/st-michel-traditional-cake-250g/p/639934",12.5
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana chocolate chip pound cake 290g","No","NA","1 pieces/kg","14.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-chocochip-pound-cake-290g/p/516793",14.5
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana super roll strawberry 60 g x 6 packets","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-strbry-super-roll-60g-x6/p/40388",10.95
"Carrefour","St michel","St michel","Dairy & Eggs","Chilled Desserts","Saint michel madleine 75g x 24","Yes","24","1 pieces/kg","5.20SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/st-michel-choco-madeleines-75g/p/639931",5.2
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana mini chocolate swiss rolls120 g","No","NA","1 pieces/kg","4.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-choco-swiss-roll-120g/p/40353",4.95
"Carrefour","Galaxy","Galaxy","Dairy & Eggs","Chilled Desserts","Galaxy Caramel Cake 5 x 30 g","No","NA","1 pieces/kg","13.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/galaxy-caramel-cake-30gx5/p/103309",13.95
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana marble pound cake 290 g","No","NA","1 pieces/kg","14.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-marble-pound-cake-290g/p/516794",14.5
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana chocolate pound cake 290 g","No","NA","1 pieces/kg","14.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-choco-pound-cake-290g/p/516792",14.5
"Carrefour","NA","NA","Dairy & Eggs","Chilled Desserts","Carrefour selec fondant dessert 2 x 90 g","No","NA","1 pieces/kg","29.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/crf-selection-fondant-dessrt-90g-x2/p/596705",29.95
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana Super Roll Chocolate 60 g x 6 Pieces","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-choco-super-roll-60g-x6/p/40392",10.95
"Carrefour","Galaxy","Galaxy","Dairy & Eggs","Chilled Desserts","Galaxy caramel cake 30g","No","NA","1 pieces/kg","2.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/galaxy-caramel-cake-30g/p/655003",2.95
"Carrefour","Fuchsia","Fuchsia","Dairy & Eggs","Chilled Desserts","Fuchsia fruit cake 220g","No","NA","1 pieces/kg","7.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/fuchsia-fruit-cake-220g/p/645234",7.95
"Carrefour","Americana","Americana","Dairy & Eggs","Chilled Desserts","Americana mini swiss roll strawberry 130 g","No","NA","1 pieces/kg","4.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fresh-food/dairy-eggs/chilled-desserts/cakes-tarts-pastry/americana-strwberry-swiss-roll-120g/p/40352",4.95
