Market,Brand,Sub Brand,Category,Sub Category,Name,IS_Combo,If Combo - Size,Individual Size (gm),Price (SAR),Link,SAR/g
Carrefour,Organic larder,Organic larder,Bio & Organic Food,Organic Frozen Products,Organic zucchini spirals 300 g,No,NA,1 pieces/kg,28.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-frozen-products/organic-vegetables/organic-zucchini-spirals-300g/p/649630,28.5
Carrefour,Organic larder,Organic larder,Bio & Organic Food,Organic Frozen Products,ORGANIC LARDER C FLOWER RICE 300G,No,NA,1 pieces/kg,18.25,https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-frozen-products/organic-vegetables/organic-larder-c-flower-rice-300g/p/649628,18.25
Carrefour,Organic larder,Organic larder,Bio & Organic Food,Organic Frozen Products,Larder organic cauliflower mash with garlic keto diet 300g,No,NA,1 pieces/kg,23.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-frozen-products/organic-vegetables/organic-couliflwer-garlic-300g/p/649631,23.5
Carrefour,Emborg,Emborg,Bio & Organic Food,Organic Frozen Products,Emborg organic mix vegetable 400g,No,NA,1 pieces/kg,13.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-frozen-products/organic-vegetables/emborg-mix-vegetables-organic-400g/p/627730,13.5
Carrefour,Organic larder,Organic larder,Bio & Organic Food,Organic Frozen Products,Larder organic broccoli rice gluten free keto diet 300g,No,NA,1 pieces/kg,22.25,https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-frozen-products/organic-vegetables/organic-larder-broccoli-rice-300g/p/649629,22.25
"Carrefour","Mccain","Mccain","Frozen Food","Ice Cream & Desserts","Mccain cake chocolate 510 g","No","NA","1 pieces/kg","33.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/mccain-choco-cake-510g/p/95403",33.95
"Carrefour","Al karamah","Al karamah","Frozen Food","Ice Cream & Desserts","Al karamah ground kunafa mafruka 500 g","No","NA","1 pieces/kg","8.40SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/al-karamah-grounded-kunafa-550g/p/622907",8.4
"Carrefour","Al walimah","Al walimah","Frozen Food","Ice Cream & Desserts","Walimah spring roll 160 g","No","NA","1 pieces/kg","4.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/al-walimah-spring-roll-160g/p/618861",4.75
"Carrefour","Sunbulah","Sunbulah","Frozen Food","Ice Cream & Desserts","Sunbulah double chocolate cookies for baking 240 g × 6","No","NA","1 pieces/kg","8.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/sunbulah-double-choco-cookies-240g/p/652953",8.95
"Carrefour","Oreo","Oreo","Frozen Food","Ice Cream & Desserts","Oreo cheesecake slice 130g","No","NA","1 pieces/kg","29.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/oreo-cheese-cake-slice-130g/p/671838",29.95
"Carrefour","Carrefour","Carrefour","Frozen Food","Ice Cream & Desserts","Carrefour choco cake filled 190 g","No","NA","1 pieces/kg","24.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/crf-choco-cake-filled-190g/p/180317",24.95
"Carrefour","NA","NA","Frozen Food","Ice Cream & Desserts","Carrefour macarons assorted 12 pieces","No","NA","1 pieces/kg","29.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/crf-select-macarons-assorted-x12/p/568223",29.5
"Carrefour","Carrefour","Carrefour","Frozen Food","Ice Cream & Desserts","CRF VACHERIN VAN FRAMBOIS 1.2L","No","NA","1 pieces/kg","28.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/crf-vacherin-van-frambois-1-2l/p/453379",28.95
"Carrefour","Carrefour","Carrefour","Frozen Food","Ice Cream & Desserts","Carrefour raspberry macaron cake 390 g","No","NA","1 pieces/kg","49.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/crf-raspberry-macaron-cake-390-g/p/577984",49.5
"Carrefour","Carrefour","Carrefour","Frozen Food","Ice Cream & Desserts","Carrefour Feuillete 3 Chocolates 322 g","No","NA","1 pieces/kg","18.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/crf-feuillete-3-chocolats-322g/p/564964",18.5
"Carrefour","Carrefour","Carrefour","Frozen Food","Ice Cream & Desserts","Carrefour extra caramel chocolate fondant heart cakes 95g × 2","No","NA","1 pieces/kg","24.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/crf-choc-caram-fondant-95g-x2/p/564963",24.95
"Carrefour","NA","NA","Frozen Food","Ice Cream & Desserts","Siwar cinnamon rolls 468g","No","NA","1 pieces/kg","44.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/siwar-apple-cinnamon-rolls-468g/p/659454",44.95
"Carrefour","NA","NA","Frozen Food","Ice Cream & Desserts","Siwar cinnamon rolls with cream cheese 405 g x 9 pieces","No","NA","1 pieces/kg","44.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/siwar-cinnamon-roll-405g/p/648331",44.95
"Carrefour","Mccain","Mccain","Frozen Food","Ice Cream & Desserts","Mccain Cake Marble 510 g","No","NA","1 pieces/kg","33.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/mccain-marble-cake-510g/p/95404",33.95
"Carrefour","Sunbulah","Sunbulah","Frozen Food","Ice Cream & Desserts","Sunbulah chocolate chips cookies for baking 240 g × 6","No","NA","1 pieces/kg","25.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/sunbulah-choco-chip-cookies-240g/p/652952",25.95
"Carrefour","Mccain","Mccain","Frozen Food","Ice Cream & Desserts","Mccain vanilla cake 510 g","No","NA","1 pieces/kg","33.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/mccain-vanila-cake-510g/p/95405",33.95
"Carrefour","NA","NA","Frozen Food","Ice Cream & Desserts","Siwar dark chocolate cake 420g","No","NA","1 pieces/kg","49.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/siwar-dark-chocolate-cake-420g/p/659453",49.95
"Carrefour","Al walimah","Al walimah","Frozen Food","Ice Cream & Desserts","Walimah kunafah dough 500 g","No","NA","1 pieces/kg","8.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/al-walimah-kunafah-500g/p/618862",8.95
"Carrefour","Switz","Switz","Frozen Food","Ice Cream & Desserts","Switz kunafa dough 500 g","No","NA","1 pieces/kg","4.90SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/switz-kunafa-dough-500g/p/653650",4.9
"Carrefour","Sunbulah","Sunbulah","Frozen Food","Ice Cream & Desserts","Sunbulah baklawa fillo pastry 500 g","No","NA","1 pieces/kg","5.90SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/sunbulah-baklawa-fillo-500g/p/26445",5.9
"Carrefour","NA","NA","Frozen Food","Ice Cream & Desserts","Siwar basbousa cheesecake 419g","No","NA","1 pieces/kg","49.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/siwar-basbousa-cheese-cake-419g/p/659452",49.95
"Carrefour","Carrefour","Carrefour","Frozen Food","Ice Cream & Desserts","Carrefour Raspberry Tart 470 g","No","NA","1 pieces/kg","34.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/crf-raspberry-tart-470g/p/448280",34.95
"Carrefour","Carrefour","Carrefour","Frozen Food","Ice Cream & Desserts","Carrefour tart tatin 600g","No","NA","1 pieces/kg","29.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//frozen-food/ice-cream-desserts/ice-cream-cakes/crf-tarte-tatin-600g/p/564959",29.5
