"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic maramih - tray 50 g","No","NA","1 pieces/kg","14.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-maramih-tray/p/469129",14.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic hail mint - tray 100 g","No","NA","1 pieces/kg","5.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-org-hail-mint-tray/p/469115",5.5
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic dill - tray 100 g","No","NA","1 pieces/kg","5.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-dill-tray/p/469117",5.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic green onion - bag 100 g","No","NA","1 pieces/kg","5.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-org-green-onion-bag/p/469116",5.5
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic red lettuce 200 g","No","NA","1 pieces/kg","16.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-org-red-lettuce-box/p/469107",16.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic romaine lettuce - tray 200 g","No","NA","1 pieces/kg","9.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-org-lettuce-romaine-tray/p/469102",9.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic celery - bag 200 g","No","NA","1 pieces/kg","13.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-celery-bag/p/469122",13.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic italian parsley - tray 100 g","No","NA","1 pieces/kg","5.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-org-italian-parsley-tray/p/469112",5.5
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Tawthiq organic arugula","No","NA","1 pieces/kg","5.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-org-arugula-tray/p/469110",5.5
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic chili - tray 300 g","No","NA","1 pieces/kg","14.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-chilli-tray/p/445625",14.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","TF organic zucchini tray","No","NA","1 pieces/kg","18.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-zucchini-tray/p/619910",18.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic oregano - tray 50 g","No","NA","1 pieces/kg","14.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-oregano-tray/p/469131",14.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic tomato - tray 1 kg","No","NA","1 pieces/kg","18.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-tomato-tray/p/165153",18.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Nidal organic Chilli","No","NA","1 pieces/kg","4.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/nidal-organic-chilli/p/587846",4.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic kale - tray 100 g","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-kale-tray/p/572836",10.95
"Carrefour","NA","NA","Bio & Organic Food","Organic Fruits & Vegetables","Organic green tea - tray 100 g","No","NA","1 pieces/kg","5.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//bio-organic-food/organic-fruits-vegetables/organic-vegetables-organic/tf-organic-green-tea-tray/p/469121",5.5
