"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Freshly","Freshly","Food Cupboard","Chips, Dips & Snacks","Freshly butter popcorn 94% fat free 255 g","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/freshly-bter-popcorn-94-ff-255g/p/533855",10.95
"Carrefour","Freshly","Freshly","Food Cupboard","Chips, Dips & Snacks","Freshly pop corn 453 g","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/freshly-popping-corn-jar-453g/p/533861",10.95
"Carrefour","Goody","Goody","Food Cupboard","Chips, Dips & Snacks","Goody Pop Corn Jar 850 g","No","NA","1 pieces/kg","20.00","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/goody-popcorn-850g/p/546099",20
"Carrefour","Freshly","Freshly","Food Cupboard","Chips, Dips & Snacks","Freshly microwave popcorn with butter flavour light 297 g","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/freshly-light-mw-popcorn-297g/p/533860",10.95
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Al batal cheese flavor popcorn 117 g","No","NA","1 pieces/kg","6.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/al-batal-popcorn-cheese-90g/p/339786",6.5
"Carrefour","Zain","Zain","Food Cupboard","Chips, Dips & Snacks","Zain popcorn 500 g","No","NA","1 pieces/kg","7.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/zain-popcorn-500g/p/616011",7.25
"Carrefour","Kitco","Kitco","Food Cupboard","Chips, Dips & Snacks","KITCO POPCORN BUTTER 270G","No","NA","1 pieces/kg","10.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/kitco-popcorn-butter-270g/p/649156",10.25
"Carrefour","Freshly","Freshly","Food Cupboard","Chips, Dips & Snacks","Freshly microwave popcorn with butter flavour 297 g","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/freshly-butter-mw-popcorn-297g/p/533856",10.95
"Carrefour","Orient gardens","Orient gardens","Food Cupboard","Chips, Dips & Snacks","Orient Gardens Microwave Popcorn Sweet & Salty 3 x 85 g","No","NA","1 pieces/kg","12.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/o-g-mw-p-corn-swt-salty-3x3-oz/p/555759",12.75
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Al Batal Pop Corn Butter 117 g","No","NA","1 pieces/kg","6.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/al-batal-popcorn-butter-90g/p/339784",6.5
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Albatal popcorn caramel & sea salt 23 g","No","NA","1 pieces/kg","1.35","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/albatal-popcorn-caramel-sea-salt23g/p/621028",1.35
"Carrefour","Freshly","Freshly","Food Cupboard","Chips, Dips & Snacks","Freshly Microwave Popcorn 297 g","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/freshly-natural-mw-popcorn-297g/p/533858",10.95
"Carrefour","Jolly time","Jolly time","Food Cupboard","Chips, Dips & Snacks","JOLLY TIME WHITE POPCORN 850G","No","NA","1 pieces/kg","15.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/jolly-time-white-popcorn-850g/p/131166",15.95
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Al batal cheese popcorn 23 g x 11","Yes","11","1 pieces/kg","11.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/al-batal-cheese-popcorn-23gx10/p/333436",11.5
"Carrefour","Kitco","Kitco","Food Cupboard","Chips, Dips & Snacks","Kitco popcorn salted 270g","No","NA","1 pieces/kg","10.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/kitco-popcorn-salted-270g/p/649153",10.25
"Carrefour","American garden","American garden","Food Cupboard","Chips, Dips & Snacks","American garden hot & spicy popcorn microwave 273 g","No","NA","1 pieces/kg","9.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/ag-hot-spicy-popcorn-273g/p/515253",9.95
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Albatal popcorn caramel & sea salt 23 g × 15","No","NA","1 pieces/kg","19.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/albatal-popcrn-crmel-sea-salt23gx15/p/621027",19.95
"Carrefour","Freshly","Freshly","Food Cupboard","Chips, Dips & Snacks","Freshly Popcorn 906 g","No","NA","1 pieces/kg","18.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/freshly-popping-corn-jar-906g/p/533862",18.5
"Carrefour","Kitco","Kitco","Food Cupboard","Chips, Dips & Snacks","KITCO POPCORN CARAMEL 270G","No","NA","1 pieces/kg","10.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/kitco-popcorn-caramel-270g/p/649155",10.25
"Carrefour","Orient gardens","Orient gardens","Food Cupboard","Chips, Dips & Snacks","Orient garden microwave popcorn butter jalapeno 3x3 oz","No","NA","1 pieces/kg","12.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/o-g-mw-p-corn-bttr-jalapeno-3x3-oz/p/555757",12.75
"Carrefour","Goody","Goody","Food Cupboard","Chips, Dips & Snacks","Goody Pop Corn 284 g","No","NA","1 pieces/kg","5.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/goody-popcorn-284g/p/126408",5.5
"Carrefour","Freshly","Freshly","Food Cupboard","Chips, Dips & Snacks","Freshly microwave popcorn 297 g","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/freshly-mw-popcorn-297g/p/533857",10.95
"Carrefour","Orient gardens","Orient gardens","Food Cupboard","Chips, Dips & Snacks","O.G. My Popcorn Natural 3 x 3 Oz","No","NA","1 pieces/kg","12.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/o-g-mw-popcorn-natural-3x3-oz/p/555755",12.75
"Carrefour","Peep","Peep","Food Cupboard","Chips, Dips & Snacks","Peep yellow hybrid popcorn 284 g","No","NA","1 pieces/kg","4.35","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/peep-yellow-hybrid-popcorn-284g/p/156050",4.35
"Carrefour","Freshly","Freshly","Food Cupboard","Chips, Dips & Snacks","Freshly microwave popcorn hot & spicy 297 g","No","NA","1 pieces/kg","10.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/freshly-mw-popcorn-hot-spicy-297g/p/533859",10.95
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","ALBATAL CARAMEL POPCORN 23G","No","NA","1 pieces/kg","1.60","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/albatal-caramel-popcorn-23g/p/494791",1.6
"Carrefour","Zain","Zain","Food Cupboard","Chips, Dips & Snacks","Zain premium popcorn 800 g","No","NA","1 pieces/kg","9.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/zain-popcorn-800g/p/588421",9.5
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Albatal caramel popcorn 23 g x 15","Yes","15","1 pieces/kg","19.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/albatal-caramel-popcorn-23gx15/p/615092",19.95
"Carrefour","Kitco","Kitco","Food Cupboard","Chips, Dips & Snacks","Kitco popcorn cheese 270g","No","NA","1 pieces/kg","10.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/kitco-popcorn-cheese-270g/p/649154",10.25
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Albatal hot chilli popcorn 100g","No","NA","1 pieces/kg","6.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/al-batal-popcorn-chilli-90g/p/413996",6.5
"Carrefour","Orient gardens","Orient gardens","Food Cupboard","Chips, Dips & Snacks","Orient gardens microwave popcorn chilli lemon 85 g x 3 pags","No","NA","1 pieces/kg","12.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/o-g-mw-p-corn-chilli-lemn-3x3-oz/p/555760",12.75
"Carrefour","Jolly time","Jolly time","Food Cupboard","Chips, Dips & Snacks","JOLLY TIME YELLOW POPCORN 850G","No","NA","1 pieces/kg","15.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/jolly-time-yellow-popcorn-850g/p/131165",15.95
"Carrefour","Jolly time","Jolly time","Food Cupboard","Chips, Dips & Snacks","Jolly time yellow popcorn 1.81 kg","No","NA","1 pieces/kg","21.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/jolly-time-yellow-popcorn-1-81kg/p/131162",21.5
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Al batal cheese flavor popcorn 23 g","No","NA","1 pieces/kg","1.15","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/al-batal-cheese-popcorn-23g/p/333435",1.15
"Carrefour","Al batal","Al batal","Food Cupboard","Chips, Dips & Snacks","Al batal butter popcorn 23 g x 11","Yes","11","1 pieces/kg","11.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/chips-dips-snacks/pop-corn/al-batal-butter-popcorn-23gx10/p/133491",11.5
