"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","Garlic bag 450 to 550 g","No","NA","1 pieces/kg","2.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/garlic-ginger/garlic-bag-approx-350-gms/p/78714",2.95
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","White mushroom local punnet 250 g","No","NA","1 pieces/kg","8.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/mushrooms/mushroom-white-local-punnet-250-gms/p/78567",8.95
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","Potato - medium bag 1.5 to 1.8 Kg","No","NA","1 pieces/kg","5.50SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/potato/potato-bag-medium-1-6-to-1-8-kg/p/78683",5.5
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","Tomato (per KG)","No","NA","1 pieces/kg","8.95/Kg","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/tomato/tomato/p/78493",8.95
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","Garlic bag 450 to 550 g","No","NA","1 pieces/kg","2.95SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/garlic-ginger/garlic-bag-approx-350-gms/p/78714",2.95
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","White mushroom local punnet 250 g","No","NA","1 pieces/kg","8.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/mushrooms/mushroom-white-local-punnet-250-gms/p/78567",8.95
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","Potato - medium bag 1.5 to 1.8 Kg","No","NA","1 pieces/kg","5.50SAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/potato/potato-bag-medium-1-6-to-1-8-kg/p/78683",5.5
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","Tomato (per KG)","No","NA","1 pieces/kg","8.95/Kg","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/tomato/tomato/p/78493",8.95
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","Potato fresh (per Kg)","No","NA","1 pieces/kg","2.90/KgSAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/potato/potato/p/78680",2.9
"Carrefour","NA","NA","Fruits & Vegetables","Vegetables","Onion red bulk (per Kg)","No","NA","1 pieces/kg","1.40/KgSAR","https://www.carrefourksa.com/mafsau/en/root-maf-category//fruits-vegetables/vegetables/onion-shalots/onion-red/p/78735",1.4
