"Market","Brand","Sub Brand","Category","Sub Category","Name","IS_Combo","If Combo - Size","Individual Size (gm)","Price (SAR)","Link","SAR/g"
"Carrefour","Zain","Zain","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Zain daal toor 500 g","No","NA","1 pieces/kg","7.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/zain-daal-toor-500g/p/559723",7.75
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb greenlentils lentils 1 Kg","No","NA","1 pieces/kg","13.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/yateb-green-lentils-1kg/p/146314",13.95
"Carrefour","Zain","Zain","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Zain semolina 800 g","No","NA","1 pieces/kg","9.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/couscous/zain-semolina-800g/p/588434",9.5
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb semolina hard 1 Kg","No","NA","1 pieces/kg","8.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/couscous/yateb-semolina-hard-1kg/p/146305",8.95
"Carrefour","Mehtap","Mehtap","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Almehbaj lentils Canada brown 1 Kg","No","NA","1 pieces/kg","11.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/mehbaj-lentils-canada-brown-1kg/p/642941",11.5
"Carrefour","NA","NA","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Azimco beans broad 600g","No","NA","1 pieces/kg","8.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/beans/azimco-beans-broad-600g/p/561148",8.25
"Carrefour","Carrefour","Carrefour","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Carrefour chick peas 14 mm 1 kg","No","NA","1 pieces/kg","15.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/peas/crf-peas-chick-14mm-1kg/p/619601",15.95
"Carrefour","Carrefour","Carrefour","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Carrefour chana dal 2 kg","No","NA","1 pieces/kg","19.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/peas/crf-chana-dal-2kg/p/619617",19.95
"Carrefour","NA","NA","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Azimco wheat whole 600 g","No","NA","1 pieces/kg","5.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/black-eyed-peas/azimco-wheat-whole-600g/p/561127",5.5
"Carrefour","NA","NA","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Azimco lentils chickpeas 600g","No","NA","1 pieces/kg","9.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/azimco-lentils-chickpeas-600g/p/561140",9.5
"Carrefour","NA","NA","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Azimco Chickpeas Whole 600 g","No","NA","1 pieces/kg","9.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/peas/azimco-chickpeas-whole-600g/p/561143",9.75
"Carrefour","Mehtap","Mehtap","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Al mehbaj white beans 1kg","No","NA","1 pieces/kg","14.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/beans/mehbaj-beans-broad-white-small-1kg/p/642930",14.95
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb red lentils whole 2 Kg","No","NA","1 pieces/kg","31.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/yateb-red-lentils-whole-2kg/p/146309",31.25
"Carrefour","Zain","Zain","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Zain green lentils 1 Kg","No","NA","1 pieces/kg","12.95","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/zain-lentils-green-1kg/p/103011",12.95
"Carrefour","Zain","Zain","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Zain jareesh 800 g","No","NA","1 pieces/kg","9.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/black-eyed-peas/zain-jareesh-800g/p/588409",9.5
"Carrefour","Zain","Zain","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Zain premium red split lentils 800 g","No","NA","1 pieces/kg","10.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/zain-lentils-red-split-800g/p/588423",10.5
"Carrefour","Zain","Zain","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Zain yellow lentils 500 g","No","NA","1 pieces/kg","7.75","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/lentils/zain-lentils-yellow-500g/p/529758",7.75
"Carrefour","Yateb","Yateb","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Yateb hareesh 2 Kg","No","NA","1 pieces/kg","16.50","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/black-eyed-peas/yateb-hareesh-2kg/p/146368",16.5
"Carrefour","Sipa","Sipa","Rice, Pasta & Pulses","Pulses, Grains & Couscous","Sipa couscous moyen 500 g","No","NA","1 pieces/kg","12.25","https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/rice-pasta-pulses/pulses-grains-couscous/couscous/sipa-couscous-500g/p/128921",12.25
