Market,Brand,Sub Brand,Category,Sub Category,Name,IS_Combo,If Combo - Size,Individual Size (gm),Price (SAR),Link,SAR/g
Carrefour,Nestle cereals,Nestle cereals,Breakfast Cereals & Bars,Cereals,Country corn flakes 500 g,No,NA,500 g,19.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/country-corn-flakes-500g/p/126104,0.0399
Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness breakfast cereal bar with whole grain & strawberry 23.5 g,No,NA,23.5 g,3.85,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/fitness-cereal-bar-strbry-23-5g/p/561448,0.163829787234043
Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins choco flakes cereal 750 g,No,NA,750 g,33.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-choco-flakes-750g/p/50358,0.045
Carrefour,Nestle cereals,Nestle cereals,Breakfast Cereals & Bars,Cereals,Nestle country cornflakes bar cardamom 20 g,No,NA,20 g,2.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/country-corn-flake-bar-cardamom-20g/p/612630,0.1375
Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness original cereal made with whole grain 450 g +20 % free,No,NA,450 g,24.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-cereal-375g-20-free/p/166213,0.054444444444445
Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Nestle fitness oats honey almond 355 g + 20% free,No,NA,355 g,25.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-honey-almond-355g-20-fr/p/513587,0.073098591549296
Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness breakfast cereal bar with whole grain & chocolate 23.5 g,No,NA,23.5 g,3.85,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/fitness-cereal-bar-choco-23-5g/p/561450,0.163829787234043
Carrefour,NESTLE:FITNESS,NESTLE:FITNESS,Breakfast Cereals & Bars,Cereals,Fitness fruits fitness cereal made with whole grain low fat & high in fiber 450 g +20 % free,No,NA,450 g,25.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/fitness-fruit-375g-20-free/p/493367,0.057666666666667
Carrefour,Carrefour,Carrefour,Breakfast Cereals & Bars,Cereals,Carrefour xtrem milk cereal 400 g,No,NA,400 g,14.95,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/fitness-cereals/crf-xtreme-milk-cereal-400g/p/629461,0.037375
Carrefour,Eggo,Eggo,Breakfast Cereals & Bars,Cereals,Kelloggs coco pops bars 20 g x 6 pieces,yes,6,20 g,10.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereal-bars/kellogg-s-coco-pops-pars-20g-x6/p/599122,0.0875
Carrefour,NA,NA,Breakfast Cereals & Bars,Cereals,Bakalland ba energy bar breakfast cereal with 5 dried fruits 240 g,No,NA,240 g,22.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereal-bars/ba-energy-bar-5-dried-fruits-240g/p/645040,0.09375
Carrefour,Poppins,Poppins,Breakfast Cereals & Bars,Cereals,Poppins frosted flakes 375 g,No,NA,375 g,20.75,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/poppins-snowies-375g/p/162274,0.055333333333333
Carrefour,Nestle,Nestle,Breakfast Cereals & Bars,Cereals,Country corn flakes 805 g + 15 % free,No,NA,805 g,25.5,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/family-cereals/nestle-corn-flakes-700g-15-extra/p/373071,0.03167701863354
Carrefour,Nestle,Nestle,Breakfast Cereals & Bars,Cereals,Nestle cini minis cereal cinnamon 375 g,No,NA,375 g,22.55,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/nestle-cini-minis-cereal-cinmn-375g/p/633297,0.060133333333333
Carrefour,Kellogg's,Kellogg's,Breakfast Cereals & Bars,Cereals,Kellogg's coco pops jumbo crispy chocolate cereal 375 g,No,NA,375 g,16.95SAR,https://www.carrefourksa.com/mafsau/en/root-maf-category//food-cupboard/breakfast-cereals-bars/cereals/kids-cereals/kellogg-s-coco-pop-jumbo-375g/p/301257,0.0452
